codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD000001,NOM_PROD1,DES_PROD1,4,2,150,5,3775,0,3425,10.22,S,142,180,I
PROD000002,NOM_PROD2,DES_PROD2,2,2,201,2,2814,0,2403,17.11,N,190,241,I
PROD000003,NOM_PROD3,DES_PROD3,4,3,342,1,5400,0,4818,12.1,N,324,410,A
PROD000004,NOM_PROD4,DES_PROD4,3,1,226,4,3590,0,3252,10.41,S,214,271,A
PROD000005,NOM_PROD5,DES_PROD5,3,2,369,4,4989,0,4475,11.49,S,350,442,A
PROD000006,NOM_PROD6,DES_PROD6,4,3,115,3,3785,0,3164,19.64,S,109,138,I
PROD000007,NOM_PROD7,DES_PROD7,2,3,71,4,2340,0,2064,13.38,S,67,85,I
PROD000008,NOM_PROD8,DES_PROD8,5,1,409,5,2533,0,2302,10.06,N,388,490,I
PROD000009,NOM_PROD9,DES_PROD9,1,3,475,3,4427,0,3992,10.9,N,451,570,I
PROD000010,NOM_PROD10,DES_PROD10,5,1,445,1,4846,0,4102,18.14,S,422,534,A
PROD000011,NOM_PROD11,DES_PROD11,3,3,243,2,2335,0,1986,17.58,N,230,291,A
PROD000012,NOM_PROD12,DES_PROD12,4,2,376,1,3941,0,3532,11.58,N,357,451,A
PROD000013,NOM_PROD13,DES_PROD13,2,3,107,1,2843,0,2376,19.67,S,101,128,A
PROD000014,NOM_PROD14,DES_PROD14,2,2,421,3,3330,0,2844,17.11,S,399,505,A
PROD000015,NOM_PROD15,DES_PROD15,5,1,164,1,4136,0,3581,15.51,S,155,196,A
PROD000016,NOM_PROD16,DES_PROD16,1,3,78,3,3363,0,2867,17.31,N,74,93,I
PROD000017,NOM_PROD17,DES_PROD17,1,3,9,4,4778,0,4219,13.26,N,8,10,A
PROD000018,NOM_PROD18,DES_PROD18,2,2,412,2,4367,0,3793,15.15,N,391,494,A
PROD000019,NOM_PROD19,DES_PROD19,4,2,198,4,4798,0,4182,14.75,S,188,237,A
PROD000020,NOM_PROD20,DES_PROD20,2,2,408,3,2397,0,2083,15.1,N,387,489,A
PROD000021,NOM_PROD21,DES_PROD21,5,1,437,2,3892,0,3404,14.34,N,415,524,A
PROD000022,NOM_PROD22,DES_PROD22,2,3,451,4,5650,0,4795,17.84,S,428,541,I
PROD000023,NOM_PROD23,DES_PROD23,2,2,274,3,4618,0,4067,13.55,N,260,328,I
PROD000024,NOM_PROD24,DES_PROD24,2,3,125,4,2398,0,2164,10.82,N,118,150,I
PROD000025,NOM_PROD25,DES_PROD25,1,1,434,4,3450,0,3122,10.53,S,412,520,I
PROD000026,NOM_PROD26,DES_PROD26,4,2,31,1,3993,0,3390,17.79,S,29,37,I
PROD000027,NOM_PROD27,DES_PROD27,5,1,84,5,4775,0,4262,12.06,N,79,100,I
PROD000028,NOM_PROD28,DES_PROD28,4,1,207,3,3338,0,2832,17.87,N,196,248,I
PROD000029,NOM_PROD29,DES_PROD29,5,2,391,3,5574,0,4975,12.05,S,371,469,A
PROD000030,NOM_PROD30,DES_PROD30,5,3,477,4,2486,0,2242,10.92,S,453,572,I
PROD000031,NOM_PROD31,DES_PROD31,2,3,113,5,4591,0,3986,15.19,N,107,135,A
PROD000032,NOM_PROD32,DES_PROD32,2,3,336,3,2854,0,2543,12.24,N,319,403,I
PROD000033,NOM_PROD33,DES_PROD33,2,3,189,5,5567,0,4709,18.23,S,179,226,I
PROD000034,NOM_PROD34,DES_PROD34,3,1,468,5,4673,0,3900,19.84,N,444,561,A
PROD000035,NOM_PROD35,DES_PROD35,2,1,153,5,2548,0,2190,16.38,N,145,183,A
PROD000036,NOM_PROD36,DES_PROD36,2,1,118,3,5530,0,4662,18.64,N,112,141,I
PROD000037,NOM_PROD37,DES_PROD37,2,1,93,4,5290,0,4689,12.83,S,88,111,I
PROD000038,NOM_PROD38,DES_PROD38,1,1,494,3,2816,0,2510,12.2,N,469,592,A
PROD000039,NOM_PROD39,DES_PROD39,2,1,411,2,5522,0,4691,17.72,S,390,493,I
PROD000040,NOM_PROD40,DES_PROD40,2,2,484,3,4992,0,4357,14.59,N,459,580,I
PROD000041,NOM_PROD41,DES_PROD41,1,3,341,2,3019,0,2582,16.95,S,323,409,A
PROD000042,NOM_PROD42,DES_PROD42,1,3,423,2,5885,0,4953,18.83,S,401,507,I
PROD000043,NOM_PROD43,DES_PROD43,5,1,352,4,3489,0,2933,18.97,S,334,422,A
PROD000044,NOM_PROD44,DES_PROD44,3,3,233,4,3651,0,3118,17.11,S,221,279,I
PROD000045,NOM_PROD45,DES_PROD45,2,1,85,3,4058,0,3615,12.28,N,80,102,I
PROD000046,NOM_PROD46,DES_PROD46,5,1,155,1,2792,0,2457,13.67,S,147,186,A
PROD000047,NOM_PROD47,DES_PROD47,5,3,103,3,2763,0,2490,11.0,N,97,123,A
PROD000048,NOM_PROD48,DES_PROD48,2,3,123,3,3803,0,3223,18.0,S,116,147,A
PROD000049,NOM_PROD49,DES_PROD49,2,1,211,3,5449,0,4792,13.73,N,200,253,I
PROD000050,NOM_PROD50,DES_PROD50,4,1,415,1,3441,0,2943,16.95,N,394,498,I
PROD000051,NOM_PROD51,DES_PROD51,1,2,174,4,3135,0,2821,11.14,S,165,208,A
PROD000052,NOM_PROD52,DES_PROD52,5,3,72,4,3270,0,2931,11.6,N,68,86,A
PROD000053,NOM_PROD53,DES_PROD53,1,2,317,1,2725,0,2308,18.11,N,301,380,A
PROD000054,NOM_PROD54,DES_PROD54,1,3,265,5,5532,0,4826,14.63,N,251,318,A
PROD000055,NOM_PROD55,DES_PROD55,5,2,428,2,4889,0,4163,17.46,S,406,513,I
PROD000056,NOM_PROD56,DES_PROD56,3,3,141,3,5007,0,4408,13.59,N,133,169,A
PROD000057,NOM_PROD57,DES_PROD57,1,2,82,5,3301,0,2963,11.44,S,77,98,I
PROD000058,NOM_PROD58,DES_PROD58,3,3,204,5,3555,0,3177,11.92,N,193,244,I
PROD000059,NOM_PROD59,DES_PROD59,4,3,247,3,2483,0,2188,13.5,N,234,296,I
PROD000060,NOM_PROD60,DES_PROD60,5,3,352,4,2327,0,2103,10.66,N,334,422,A
PROD000061,NOM_PROD61,DES_PROD61,2,1,70,1,2579,0,2232,15.57,S,66,84,A
PROD000062,NOM_PROD62,DES_PROD62,2,3,312,1,2807,0,2524,11.22,S,296,374,A
PROD000063,NOM_PROD63,DES_PROD63,1,2,141,3,4986,0,4248,17.38,N,133,169,A
PROD000064,NOM_PROD64,DES_PROD64,5,3,3,1,2383,0,2046,16.52,S,2,3,A
PROD000065,NOM_PROD65,DES_PROD65,1,2,20,3,3251,0,2863,13.57,N,19,24,I
PROD000066,NOM_PROD66,DES_PROD66,3,1,414,5,2778,0,2473,12.37,N,393,496,A
PROD000067,NOM_PROD67,DES_PROD67,3,3,232,1,3581,0,3148,13.78,N,220,278,I
PROD000068,NOM_PROD68,DES_PROD68,2,1,26,2,4344,0,3857,12.64,N,24,31,I
PROD000069,NOM_PROD69,DES_PROD69,5,1,280,5,5539,0,4968,11.51,S,266,336,A
PROD000070,NOM_PROD70,DES_PROD70,1,3,95,4,5177,0,4429,16.91,S,90,114,A
PROD000071,NOM_PROD71,DES_PROD71,4,1,21,2,4290,0,3874,10.74,N,19,25,A
PROD000072,NOM_PROD72,DES_PROD72,5,3,496,2,4879,0,4170,17.02,S,471,595,I
PROD000073,NOM_PROD73,DES_PROD73,3,1,437,1,3201,0,2714,17.96,N,415,524,I
PROD000074,NOM_PROD74,DES_PROD74,2,3,453,1,3245,0,2710,19.77,S,430,543,I
PROD000075,NOM_PROD75,DES_PROD75,5,3,407,1,5044,0,4419,14.16,S,386,488,I
PROD000076,NOM_PROD76,DES_PROD76,5,3,186,5,4887,0,4179,16.95,S,176,223,I
PROD000077,NOM_PROD77,DES_PROD77,5,3,377,2,4848,0,4073,19.03,S,358,452,A
PROD000078,NOM_PROD78,DES_PROD78,5,1,99,1,4868,0,4313,12.89,S,94,118,A
PROD000079,NOM_PROD79,DES_PROD79,4,3,182,4,4847,0,4394,10.32,N,172,218,A
PROD000080,NOM_PROD80,DES_PROD80,4,3,84,4,3193,0,2784,14.72,N,79,100,I
PROD000081,NOM_PROD81,DES_PROD81,3,2,318,1,3422,0,3019,13.36,S,302,381,A
