codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD060001,NOM_PROD60001,DES_PROD60001,2,1,52,1,3360,0,2865,17.3,N,49,62,I
PROD060002,NOM_PROD60002,DES_PROD60002,3,1,372,1,3024,0,2717,11.31,S,353,446,A
PROD060003,NOM_PROD60003,DES_PROD60003,2,3,173,1,5268,0,4488,17.4,N,164,207,I
PROD060004,NOM_PROD60004,DES_PROD60004,5,2,34,5,2676,0,2296,16.57,N,32,40,A
PROD060005,NOM_PROD60005,DES_PROD60005,1,1,259,5,4599,0,3848,19.54,N,246,310,A
PROD060006,NOM_PROD60006,DES_PROD60006,3,1,473,5,5249,0,4464,17.6,N,449,567,I
PROD060007,NOM_PROD60007,DES_PROD60007,1,2,101,4,4480,0,3982,12.52,N,95,121,A
PROD060008,NOM_PROD60008,DES_PROD60008,5,1,101,5,4218,0,3586,17.63,S,95,121,A
PROD060009,NOM_PROD60009,DES_PROD60009,2,1,164,4,2491,0,2204,13.03,S,155,196,A
PROD060010,NOM_PROD60010,DES_PROD60010,2,1,211,3,3117,0,2644,17.92,S,200,253,A
PROD060011,NOM_PROD60011,DES_PROD60011,5,1,336,5,3518,0,2998,17.35,N,319,403,I
PROD060012,NOM_PROD60012,DES_PROD60012,5,2,387,5,3494,0,3059,14.24,S,367,464,A
PROD060013,NOM_PROD60013,DES_PROD60013,5,1,221,3,4352,0,3873,12.39,S,209,265,I
PROD060014,NOM_PROD60014,DES_PROD60014,5,1,333,2,5037,0,4501,11.93,N,316,399,I
PROD060015,NOM_PROD60015,DES_PROD60015,3,1,154,4,4766,0,4267,11.71,S,146,184,A
PROD060016,NOM_PROD60016,DES_PROD60016,2,2,18,5,4542,0,4095,10.94,N,17,21,A
PROD060017,NOM_PROD60017,DES_PROD60017,3,2,140,5,4103,0,3573,14.84,N,133,168,I
PROD060018,NOM_PROD60018,DES_PROD60018,5,2,380,4,3528,0,3096,13.96,S,361,456,A
PROD060019,NOM_PROD60019,DES_PROD60019,1,1,121,2,3043,0,2550,19.36,N,114,145,I
PROD060020,NOM_PROD60020,DES_PROD60020,2,1,234,5,3577,0,3172,12.78,S,222,280,I
PROD060021,NOM_PROD60021,DES_PROD60021,3,3,367,4,4238,0,3773,12.33,N,348,440,I
PROD060022,NOM_PROD60022,DES_PROD60022,1,1,450,2,4537,0,4098,10.73,S,427,540,A
PROD060023,NOM_PROD60023,DES_PROD60023,5,3,344,1,5346,0,4735,12.91,N,326,412,I
PROD060024,NOM_PROD60024,DES_PROD60024,2,3,405,3,3190,0,2735,16.64,N,384,486,A
PROD060025,NOM_PROD60025,DES_PROD60025,4,2,471,1,2692,0,2444,10.16,S,447,565,A
PROD060026,NOM_PROD60026,DES_PROD60026,1,3,68,3,4726,0,4094,15.45,N,64,81,A
PROD060027,NOM_PROD60027,DES_PROD60027,3,1,174,5,2408,0,2180,10.48,N,165,208,A
PROD060028,NOM_PROD60028,DES_PROD60028,4,1,262,5,4172,0,3677,13.48,N,248,314,I
PROD060029,NOM_PROD60029,DES_PROD60029,4,2,461,1,3988,0,3448,15.69,S,437,553,A
PROD060030,NOM_PROD60030,DES_PROD60030,4,2,290,3,3580,0,3047,17.51,S,275,348,A
PROD060031,NOM_PROD60031,DES_PROD60031,4,1,406,1,2614,0,2267,15.33,N,385,487,A
PROD060032,NOM_PROD60032,DES_PROD60032,2,3,442,3,4139,0,3658,13.16,N,419,530,A
PROD060033,NOM_PROD60033,DES_PROD60033,1,3,175,5,5569,0,4876,14.22,N,166,210,A
PROD060034,NOM_PROD60034,DES_PROD60034,2,3,454,3,4391,0,3835,14.52,N,431,544,I
PROD060035,NOM_PROD60035,DES_PROD60035,2,3,162,2,4755,0,4312,10.29,S,153,194,I
PROD060036,NOM_PROD60036,DES_PROD60036,4,2,384,5,4491,0,3890,15.45,N,364,460,A
PROD060037,NOM_PROD60037,DES_PROD60037,5,2,106,1,3655,0,3268,11.87,S,100,127,A
PROD060038,NOM_PROD60038,DES_PROD60038,5,1,333,4,3703,0,3094,19.7,S,316,399,A
PROD060039,NOM_PROD60039,DES_PROD60039,5,3,256,4,2494,0,2215,12.6,S,243,307,A
PROD060040,NOM_PROD60040,DES_PROD60040,1,2,142,4,5421,0,4777,13.49,S,134,170,I
PROD060041,NOM_PROD60041,DES_PROD60041,3,3,305,5,5800,0,4842,19.79,S,289,366,A
PROD060042,NOM_PROD60042,DES_PROD60042,5,2,265,3,5920,0,4979,18.9,N,251,318,I
PROD060043,NOM_PROD60043,DES_PROD60043,1,1,446,2,4829,0,4063,18.86,N,423,535,A
PROD060044,NOM_PROD60044,DES_PROD60044,2,3,81,5,3031,0,2675,13.34,N,76,97,A
PROD060045,NOM_PROD60045,DES_PROD60045,5,1,120,2,3843,0,3426,12.2,S,114,144,A
PROD060046,NOM_PROD60046,DES_PROD60046,2,2,415,1,2385,0,2052,16.26,N,394,498,I
PROD060047,NOM_PROD60047,DES_PROD60047,5,3,265,5,2779,0,2396,15.99,N,251,318,A
PROD060048,NOM_PROD60048,DES_PROD60048,4,2,487,3,4766,0,4074,17.0,N,462,584,I
PROD060049,NOM_PROD60049,DES_PROD60049,2,2,351,2,5476,0,4704,16.42,S,333,421,A
PROD060050,NOM_PROD60050,DES_PROD60050,3,1,181,2,4534,0,3880,16.87,S,171,217,I
PROD060051,NOM_PROD60051,DES_PROD60051,5,1,336,3,4289,0,3782,13.41,N,319,403,A
PROD060052,NOM_PROD60052,DES_PROD60052,3,3,18,5,5029,0,4391,14.55,N,17,21,I
PROD060053,NOM_PROD60053,DES_PROD60053,2,3,13,3,4742,0,4073,16.43,N,12,15,I
PROD060054,NOM_PROD60054,DES_PROD60054,4,1,447,2,2730,0,2325,17.43,S,424,536,A
PROD060055,NOM_PROD60055,DES_PROD60055,2,2,342,1,2300,0,2026,13.57,N,324,410,A
PROD060056,NOM_PROD60056,DES_PROD60056,3,1,446,2,5343,0,4629,15.44,N,423,535,I
