codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD020001,NOM_PROD20001,DES_PROD20001,4,2,25,5,4697,0,4123,13.93,N,23,30,A
PROD020002,NOM_PROD20002,DES_PROD20002,2,2,138,3,3520,0,2970,18.53,N,131,165,I
PROD020003,NOM_PROD20003,DES_PROD20003,4,1,31,5,2462,0,2146,14.76,N,29,37,A
PROD020004,NOM_PROD20004,DES_PROD20004,4,3,9,1,4127,0,3684,12.05,S,8,10,I
PROD020005,NOM_PROD20005,DES_PROD20005,1,2,153,4,3566,0,3050,16.95,N,145,183,A
PROD020006,NOM_PROD20006,DES_PROD20006,2,1,438,2,3035,0,2574,17.94,S,416,525,I
PROD020007,NOM_PROD20007,DES_PROD20007,4,3,435,2,2326,0,2033,14.44,S,413,522,I
PROD020008,NOM_PROD20008,DES_PROD20008,1,1,152,1,4014,0,3371,19.1,S,144,182,A
PROD020009,NOM_PROD20009,DES_PROD20009,4,2,32,5,5394,0,4514,19.5,S,30,38,A
PROD020010,NOM_PROD20010,DES_PROD20010,3,1,222,2,5120,0,4507,13.62,N,210,266,A
PROD020011,NOM_PROD20011,DES_PROD20011,5,3,281,5,2937,0,2523,16.42,S,266,337,A
PROD020012,NOM_PROD20012,DES_PROD20012,3,1,418,4,2922,0,2558,14.24,N,397,501,I
PROD020013,NOM_PROD20013,DES_PROD20013,3,2,409,1,4977,0,4204,18.4,S,388,490,I
PROD020014,NOM_PROD20014,DES_PROD20014,4,1,275,4,4377,0,3697,18.42,S,261,330,I
PROD020015,NOM_PROD20015,DES_PROD20015,3,1,402,2,4552,0,3847,18.35,S,381,482,I
PROD020016,NOM_PROD20016,DES_PROD20016,3,2,269,1,2998,0,2518,19.1,S,255,322,I
PROD020017,NOM_PROD20017,DES_PROD20017,5,1,463,2,4838,0,4272,13.26,N,439,555,A
PROD020018,NOM_PROD20018,DES_PROD20018,5,2,328,3,3975,0,3525,12.78,N,311,393,A
PROD020019,NOM_PROD20019,DES_PROD20019,1,2,70,5,2355,0,2094,12.51,N,66,84,A
PROD020020,NOM_PROD20020,DES_PROD20020,1,1,199,3,5222,0,4390,18.97,N,189,238,A
PROD020021,NOM_PROD20021,DES_PROD20021,3,2,43,3,4437,0,3702,19.88,S,40,51,I
PROD020022,NOM_PROD20022,DES_PROD20022,1,3,376,5,4473,0,3781,18.31,S,357,451,A
PROD020023,NOM_PROD20023,DES_PROD20023,2,3,382,4,5619,0,4872,15.35,N,362,458,A
PROD020024,NOM_PROD20024,DES_PROD20024,4,3,132,5,4836,0,4342,11.4,N,125,158,I
PROD020025,NOM_PROD20025,DES_PROD20025,3,2,129,5,4091,0,3411,19.95,N,122,154,I
PROD020026,NOM_PROD20026,DES_PROD20026,1,1,366,2,4608,0,4039,14.1,N,347,439,A
PROD020027,NOM_PROD20027,DES_PROD20027,1,3,407,4,3597,0,3224,11.59,N,386,488,I
PROD020028,NOM_PROD20028,DES_PROD20028,1,2,493,3,4831,0,4364,10.72,N,468,591,I
PROD020029,NOM_PROD20029,DES_PROD20029,5,1,321,1,3829,0,3379,13.32,N,304,385,I
PROD020030,NOM_PROD20030,DES_PROD20030,4,2,340,5,4140,0,3653,13.35,S,323,408,I
PROD020031,NOM_PROD20031,DES_PROD20031,2,2,392,5,5571,0,4733,17.72,N,372,470,I
PROD020032,NOM_PROD20032,DES_PROD20032,3,3,212,4,3678,0,3261,12.8,N,201,254,I
PROD020033,NOM_PROD20033,DES_PROD20033,4,3,172,2,5670,0,4977,13.93,N,163,206,I
PROD020034,NOM_PROD20034,DES_PROD20034,4,1,22,3,3523,0,3075,14.57,N,20,26,I
PROD020035,NOM_PROD20035,DES_PROD20035,5,2,340,2,4469,0,3953,13.07,S,323,408,A
PROD020036,NOM_PROD20036,DES_PROD20036,5,1,407,1,5518,0,4751,16.16,N,386,488,I
PROD020037,NOM_PROD20037,DES_PROD20037,1,3,309,1,2858,0,2411,18.57,N,293,370,A
PROD020038,NOM_PROD20038,DES_PROD20038,2,1,305,1,3516,0,2939,19.64,N,289,366,A
PROD020039,NOM_PROD20039,DES_PROD20039,2,1,321,5,5241,0,4454,17.69,S,304,385,I
PROD020040,NOM_PROD20040,DES_PROD20040,5,3,15,5,5752,0,4835,18.97,S,14,18,A
PROD020041,NOM_PROD20041,DES_PROD20041,3,1,199,3,2486,0,2176,14.27,S,189,238,A
PROD020042,NOM_PROD20042,DES_PROD20042,5,2,458,2,4125,0,3511,17.49,N,435,549,A
PROD020043,NOM_PROD20043,DES_PROD20043,3,1,378,2,3722,0,3276,13.62,N,359,453,I
PROD020044,NOM_PROD20044,DES_PROD20044,2,1,376,5,3216,0,2784,15.55,S,357,451,A
PROD020045,NOM_PROD20045,DES_PROD20045,1,1,88,1,5011,0,4399,13.92,N,83,105,I
PROD020046,NOM_PROD20046,DES_PROD20046,4,2,316,1,3268,0,2848,14.78,S,300,379,A
PROD020047,NOM_PROD20047,DES_PROD20047,3,2,58,2,3618,0,3058,18.34,N,55,69,A
PROD020048,NOM_PROD20048,DES_PROD20048,3,3,500,5,4162,0,3472,19.9,N,475,600,I
PROD020049,NOM_PROD20049,DES_PROD20049,5,3,198,4,4423,0,3967,11.5,N,188,237,A
PROD020050,NOM_PROD20050,DES_PROD20050,1,2,197,3,4662,0,3886,19.98,N,187,236,A
PROD020051,NOM_PROD20051,DES_PROD20051,4,2,191,5,4755,0,4273,11.29,S,181,229,I
PROD020052,NOM_PROD20052,DES_PROD20052,3,1,117,5,3354,0,3030,10.72,N,111,140,I
PROD020053,NOM_PROD20053,DES_PROD20053,1,2,199,2,5356,0,4563,17.39,S,189,238,A
PROD020054,NOM_PROD20054,DES_PROD20054,2,2,141,5,5263,0,4541,15.91,S,133,169,I
PROD020055,NOM_PROD20055,DES_PROD20055,5,3,163,4,3614,0,3195,13.14,S,154,195,I
PROD020056,NOM_PROD20056,DES_PROD20056,4,2,24,1,3013,0,2542,18.55,N,22,28,I
PROD020057,NOM_PROD20057,DES_PROD20057,3,2,120,5,3464,0,2946,17.61,N,114,144,I
PROD020058,NOM_PROD20058,DES_PROD20058,3,2,8,3,3912,0,3365,16.26,S,7,9,A
PROD020059,NOM_PROD20059,DES_PROD20059,2,3,267,3,5511,0,4797,14.89,N,253,320,A
PROD020060,NOM_PROD20060,DES_PROD20060,3,2,66,2,2578,0,2220,16.14,S,62,79,A
PROD020061,NOM_PROD20061,DES_PROD20061,3,1,436,4,3238,0,2741,18.16,N,414,523,A
PROD020062,NOM_PROD20062,DES_PROD20062,3,3,485,4,4363,0,3924,11.2,N,460,582,I
PROD020063,NOM_PROD20063,DES_PROD20063,2,1,344,3,2679,0,2261,18.49,N,326,412,I
PROD020064,NOM_PROD20064,DES_PROD20064,3,3,488,5,2783,0,2515,10.68,S,463,585,I
PROD020065,NOM_PROD20065,DES_PROD20065,5,2,269,4,4851,0,4384,10.67,N,255,322,I
PROD020066,NOM_PROD20066,DES_PROD20066,2,1,96,2,4107,0,3658,12.29,S,91,115,I
PROD020067,NOM_PROD20067,DES_PROD20067,3,2,423,4,5345,0,4715,13.38,S,401,507,A
PROD020068,NOM_PROD20068,DES_PROD20068,1,1,32,2,4354,0,3832,13.64,N,30,38,I
PROD020069,NOM_PROD20069,DES_PROD20069,1,2,91,5,3125,0,2613,19.61,S,86,109,I
PROD020070,NOM_PROD20070,DES_PROD20070,4,1,223,4,2868,0,2465,16.35,N,211,267,I
PROD020071,NOM_PROD20071,DES_PROD20071,3,3,369,2,4136,0,3509,17.89,S,350,442,I
