codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD010001,NOM_PROD10001,DES_PROD10001,3,2,235,4,3370,0,2850,18.27,S,223,282,A
PROD010002,NOM_PROD10002,DES_PROD10002,3,2,303,5,2569,0,2229,15.27,N,287,363,I
PROD010003,NOM_PROD10003,DES_PROD10003,3,1,299,4,2267,0,1900,19.33,S,284,358,A
PROD010004,NOM_PROD10004,DES_PROD10004,3,2,438,5,5475,0,4913,11.44,N,416,525,I
PROD010005,NOM_PROD10005,DES_PROD10005,2,1,425,4,4336,0,3804,13.99,S,403,510,A
PROD010006,NOM_PROD10006,DES_PROD10006,3,2,318,1,4500,0,3811,18.1,S,302,381,A
PROD010007,NOM_PROD10007,DES_PROD10007,1,3,123,5,2922,0,2575,13.5,N,116,147,I
PROD010008,NOM_PROD10008,DES_PROD10008,4,2,48,2,3700,0,3344,10.66,S,45,57,A
PROD010009,NOM_PROD10009,DES_PROD10009,4,2,429,5,2525,0,2225,13.49,N,407,514,A
PROD010010,NOM_PROD10010,DES_PROD10010,1,2,299,3,4722,0,4163,13.43,N,284,358,I
PROD010011,NOM_PROD10011,DES_PROD10011,3,3,393,5,5564,0,4903,13.5,N,373,471,I
PROD010012,NOM_PROD10012,DES_PROD10012,1,1,213,5,5196,0,4534,14.61,N,202,255,I
PROD010013,NOM_PROD10013,DES_PROD10013,4,3,19,2,4776,0,4090,16.79,S,18,22,A
PROD010014,NOM_PROD10014,DES_PROD10014,1,3,184,5,2748,0,2357,16.59,S,174,220,I
PROD010015,NOM_PROD10015,DES_PROD10015,5,3,28,3,3393,0,2898,17.11,N,26,33,A
PROD010016,NOM_PROD10016,DES_PROD10016,2,3,166,1,3598,0,3227,11.52,N,157,199,A
PROD010017,NOM_PROD10017,DES_PROD10017,3,3,213,3,5331,0,4709,13.22,S,202,255,I
PROD010018,NOM_PROD10018,DES_PROD10018,2,1,43,3,4054,0,3393,19.49,N,40,51,I
PROD010019,NOM_PROD10019,DES_PROD10019,2,1,340,5,2880,0,2457,17.23,N,323,408,I
PROD010020,NOM_PROD10020,DES_PROD10020,4,1,110,2,5366,0,4598,16.71,S,104,132,I
PROD010021,NOM_PROD10021,DES_PROD10021,1,3,429,1,4955,0,4202,17.93,S,407,514,I
PROD010022,NOM_PROD10022,DES_PROD10022,5,2,18,1,5647,0,4756,18.74,N,17,21,I
PROD010023,NOM_PROD10023,DES_PROD10023,5,3,31,1,3846,0,3410,12.81,S,29,37,I
PROD010024,NOM_PROD10024,DES_PROD10024,1,3,35,2,5051,0,4398,14.86,N,33,42,I
PROD010025,NOM_PROD10025,DES_PROD10025,1,3,15,2,4205,0,3727,12.85,N,14,18,I
PROD010026,NOM_PROD10026,DES_PROD10026,1,3,492,1,3931,0,3493,12.54,S,467,590,I
PROD010027,NOM_PROD10027,DES_PROD10027,1,1,125,2,3337,0,2938,13.6,N,118,150,A
PROD010028,NOM_PROD10028,DES_PROD10028,4,1,355,4,5035,0,4316,16.68,N,337,426,A
PROD010029,NOM_PROD10029,DES_PROD10029,5,1,479,1,2519,0,2257,11.63,S,455,574,A
PROD010030,NOM_PROD10030,DES_PROD10030,2,2,481,3,3041,0,2715,12.01,S,456,577,A
PROD010031,NOM_PROD10031,DES_PROD10031,3,1,95,2,4282,0,3587,19.38,S,90,114,A
PROD010032,NOM_PROD10032,DES_PROD10032,1,1,69,5,3946,0,3485,13.25,N,65,82,I
