codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD050001,NOM_PROD50001,DES_PROD50001,3,3,356,1,2365,0,2020,17.08,N,338,427,A
PROD050002,NOM_PROD50002,DES_PROD50002,4,1,269,4,5000,0,4534,10.28,N,255,322,I
PROD050003,NOM_PROD50003,DES_PROD50003,5,1,207,5,4755,0,4181,13.73,N,196,248,A
PROD050004,NOM_PROD50004,DES_PROD50004,4,2,382,3,4564,0,3827,19.27,S,362,458,I
PROD050005,NOM_PROD50005,DES_PROD50005,2,3,312,2,4056,0,3684,10.12,N,296,374,I
PROD050006,NOM_PROD50006,DES_PROD50006,1,2,74,5,4939,0,4150,19.02,N,70,88,I
PROD050007,NOM_PROD50007,DES_PROD50007,3,3,470,3,3055,0,2655,15.1,N,446,564,I
PROD050008,NOM_PROD50008,DES_PROD50008,4,2,175,5,5744,0,4931,16.5,S,166,210,A
PROD050009,NOM_PROD50009,DES_PROD50009,4,3,401,2,2997,0,2606,15.04,S,380,481,A
PROD050010,NOM_PROD50010,DES_PROD50010,1,1,390,3,5684,0,4864,16.87,N,370,468,I
PROD050011,NOM_PROD50011,DES_PROD50011,4,2,327,5,5910,0,4970,18.93,S,310,392,A
PROD050012,NOM_PROD50012,DES_PROD50012,1,2,230,1,4455,0,3863,15.35,N,218,276,I
PROD050013,NOM_PROD50013,DES_PROD50013,3,3,391,4,2658,0,2386,11.42,S,371,469,I
PROD050014,NOM_PROD50014,DES_PROD50014,4,2,124,1,4320,0,3882,11.29,N,117,148,A
PROD050015,NOM_PROD50015,DES_PROD50015,4,2,46,5,3761,0,3247,15.86,N,43,55,I
PROD050016,NOM_PROD50016,DES_PROD50016,2,3,376,2,4270,0,3816,11.92,S,357,451,I
PROD050017,NOM_PROD50017,DES_PROD50017,4,1,380,3,3494,0,3116,12.14,S,361,456,A
PROD050018,NOM_PROD50018,DES_PROD50018,4,1,188,5,2792,0,2521,10.76,N,178,225,A
PROD050019,NOM_PROD50019,DES_PROD50019,5,2,242,3,2597,0,2261,14.88,S,229,290,A
PROD050020,NOM_PROD50020,DES_PROD50020,5,3,96,2,5002,0,4442,12.62,S,91,115,I
PROD050021,NOM_PROD50021,DES_PROD50021,1,3,471,5,2431,0,2070,17.46,S,447,565,A
PROD050022,NOM_PROD50022,DES_PROD50022,5,2,150,1,3988,0,3583,11.33,N,142,180,I
PROD050023,NOM_PROD50023,DES_PROD50023,4,2,495,2,2142,0,1890,13.34,N,470,594,I
PROD050024,NOM_PROD50024,DES_PROD50024,3,3,35,4,2575,0,2194,17.41,S,33,42,A
PROD050025,NOM_PROD50025,DES_PROD50025,1,1,116,4,3987,0,3407,17.05,N,110,139,A
PROD050026,NOM_PROD50026,DES_PROD50026,4,3,66,1,2523,0,2150,17.38,N,62,79,I
PROD050027,NOM_PROD50027,DES_PROD50027,3,2,438,3,4998,0,4337,15.25,S,416,525,A
PROD050028,NOM_PROD50028,DES_PROD50028,1,2,319,1,2440,0,2063,18.28,N,303,382,A
PROD050029,NOM_PROD50029,DES_PROD50029,4,2,470,1,4527,0,3828,18.27,S,446,564,A
PROD050030,NOM_PROD50030,DES_PROD50030,3,2,137,5,4882,0,4225,15.56,N,130,164,A
PROD050031,NOM_PROD50031,DES_PROD50031,5,1,195,2,3799,0,3392,12.01,S,185,234,I
PROD050032,NOM_PROD50032,DES_PROD50032,4,2,289,1,3876,0,3343,15.96,S,274,346,I
PROD050033,NOM_PROD50033,DES_PROD50033,3,3,297,3,3743,0,3127,19.7,S,282,356,A
PROD050034,NOM_PROD50034,DES_PROD50034,2,2,131,5,4733,0,4254,11.27,N,124,157,A
PROD050035,NOM_PROD50035,DES_PROD50035,4,2,123,2,4531,0,3969,14.18,S,116,147,I
PROD050036,NOM_PROD50036,DES_PROD50036,3,3,314,3,3360,0,2832,18.66,N,298,376,A
PROD050037,NOM_PROD50037,DES_PROD50037,1,1,365,4,5093,0,4550,11.94,N,346,438,A
PROD050038,NOM_PROD50038,DES_PROD50038,1,1,354,2,3577,0,3201,11.75,N,336,424,A
PROD050039,NOM_PROD50039,DES_PROD50039,1,1,106,4,5046,0,4295,17.5,S,100,127,I
PROD050040,NOM_PROD50040,DES_PROD50040,5,1,196,5,2605,0,2274,14.57,S,186,235,I
PROD050041,NOM_PROD50041,DES_PROD50041,1,1,72,4,2144,0,1901,12.8,S,68,86,I
