codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado
PROD040001,NOM_PROD40001,DES_PROD40001,1,3,175,1,4796,0,4050,18.42,S,166,210,I
PROD040002,NOM_PROD40002,DES_PROD40002,4,2,356,2,5645,0,4712,19.81,N,338,427,A
PROD040003,NOM_PROD40003,DES_PROD40003,1,3,26,2,3540,0,3041,16.43,S,24,31,A
PROD040004,NOM_PROD40004,DES_PROD40004,3,1,437,4,3497,0,2997,16.71,S,415,524,I
PROD040005,NOM_PROD40005,DES_PROD40005,5,1,191,5,4304,0,3816,12.8,N,181,229,A
PROD040006,NOM_PROD40006,DES_PROD40006,3,3,287,5,3098,0,2681,15.59,S,272,344,I
PROD040007,NOM_PROD40007,DES_PROD40007,4,3,13,1,4911,0,4396,11.73,S,12,15,I
PROD040008,NOM_PROD40008,DES_PROD40008,3,1,38,5,5614,0,4708,19.26,S,36,45,A
PROD040009,NOM_PROD40009,DES_PROD40009,4,3,474,1,2151,0,1909,12.71,N,450,568,I
PROD040010,NOM_PROD40010,DES_PROD40010,5,3,173,2,3597,0,3159,13.87,N,164,207,A
PROD040011,NOM_PROD40011,DES_PROD40011,4,3,210,4,3707,0,3122,18.77,N,199,252,A
PROD040012,NOM_PROD40012,DES_PROD40012,5,2,107,1,4082,0,3588,13.79,N,101,128,I
PROD040013,NOM_PROD40013,DES_PROD40013,2,2,465,4,5270,0,4710,11.91,S,441,558,I
PROD040014,NOM_PROD40014,DES_PROD40014,5,2,498,3,5047,0,4348,16.08,N,473,597,A
PROD040015,NOM_PROD40015,DES_PROD40015,2,3,277,5,5498,0,4755,15.64,N,263,332,A
PROD040016,NOM_PROD40016,DES_PROD40016,3,3,464,5,4976,0,4236,17.47,S,440,556,A
PROD040017,NOM_PROD40017,DES_PROD40017,1,2,364,2,3904,0,3324,17.46,N,345,436,A
PROD040018,NOM_PROD40018,DES_PROD40018,2,1,24,5,2536,0,2259,12.28,S,22,28,A
PROD040019,NOM_PROD40019,DES_PROD40019,4,3,10,3,4138,0,3499,18.27,N,9,12,A
PROD040020,NOM_PROD40020,DES_PROD40020,3,2,250,3,3316,0,2948,12.49,S,237,300,I
PROD040021,NOM_PROD40021,DES_PROD40021,3,1,378,1,2983,0,2654,12.4,N,359,453,I
PROD040022,NOM_PROD40022,DES_PROD40022,3,1,367,1,4398,0,3986,10.34,N,348,440,A
PROD040023,NOM_PROD40023,DES_PROD40023,2,1,35,3,5331,0,4511,18.18,S,33,42,I
PROD040024,NOM_PROD40024,DES_PROD40024,3,1,406,5,2597,0,2205,17.79,N,385,487,A
PROD040025,NOM_PROD40025,DES_PROD40025,5,3,142,4,3633,0,3296,10.25,N,134,170,A
PROD040026,NOM_PROD40026,DES_PROD40026,4,3,330,3,5222,0,4733,10.34,S,313,396,A
PROD040027,NOM_PROD40027,DES_PROD40027,2,3,434,2,5254,0,4431,18.58,S,412,520,I
