codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD060004,NOM_PROD60004,DES_PROD60004,5,2,34,5,2676,0,2296,16.57,N,32,40,A,"categoria no existe (id: 5)"
PROD060008,NOM_PROD60008,DES_PROD60008,5,1,101,5,4218,0,3586,17.63,S,95,121,A,"categoria no existe (id: 5)"
PROD060011,NOM_PROD60011,DES_PROD60011,5,1,336,5,3518,0,2998,17.35,N,319,403,I,"categoria no existe (id: 5)"
PROD060012,NOM_PROD60012,DES_PROD60012,5,2,387,5,3494,0,3059,14.24,S,367,464,A,"categoria no existe (id: 5)"
PROD060013,NOM_PROD60013,DES_PROD60013,5,1,221,3,4352,0,3873,12.39,S,209,265,I,"categoria no existe (id: 5)"
PROD060014,NOM_PROD60014,DES_PROD60014,5,1,333,2,5037,0,4501,11.93,N,316,399,I,"categoria no existe (id: 5)"
PROD060018,NOM_PROD60018,DES_PROD60018,5,2,380,4,3528,0,3096,13.96,S,361,456,A,"categoria no existe (id: 5)"
PROD060023,NOM_PROD60023,DES_PROD60023,5,3,344,1,5346,0,4735,12.91,N,326,412,I,"categoria no existe (id: 5)"
PROD060025,NOM_PROD60025,DES_PROD60025,4,2,471,1,2692,0,2444,10.16,S,447,565,A,"categoria no existe (id: 4)"
PROD060028,NOM_PROD60028,DES_PROD60028,4,1,262,5,4172,0,3677,13.48,N,248,314,I,"categoria no existe (id: 4)"
PROD060029,NOM_PROD60029,DES_PROD60029,4,2,461,1,3988,0,3448,15.69,S,437,553,A,"categoria no existe (id: 4)"
PROD060030,NOM_PROD60030,DES_PROD60030,4,2,290,3,3580,0,3047,17.51,S,275,348,A,"categoria no existe (id: 4)"
PROD060031,NOM_PROD60031,DES_PROD60031,4,1,406,1,2614,0,2267,15.33,N,385,487,A,"categoria no existe (id: 4)"
PROD060036,NOM_PROD60036,DES_PROD60036,4,2,384,5,4491,0,3890,15.45,N,364,460,A,"categoria no existe (id: 4)"
PROD060037,NOM_PROD60037,DES_PROD60037,5,2,106,1,3655,0,3268,11.87,S,100,127,A,"categoria no existe (id: 5)"
PROD060038,NOM_PROD60038,DES_PROD60038,5,1,333,4,3703,0,3094,19.7,S,316,399,A,"categoria no existe (id: 5)"
PROD060039,NOM_PROD60039,DES_PROD60039,5,3,256,4,2494,0,2215,12.6,S,243,307,A,"categoria no existe (id: 5)"
PROD060042,NOM_PROD60042,DES_PROD60042,5,2,265,3,5920,0,4979,18.9,N,251,318,I,"categoria no existe (id: 5)"
PROD060045,NOM_PROD60045,DES_PROD60045,5,1,120,2,3843,0,3426,12.2,S,114,144,A,"categoria no existe (id: 5)"
PROD060047,NOM_PROD60047,DES_PROD60047,5,3,265,5,2779,0,2396,15.99,N,251,318,A,"categoria no existe (id: 5)"
PROD060048,NOM_PROD60048,DES_PROD60048,4,2,487,3,4766,0,4074,17.0,N,462,584,I,"categoria no existe (id: 4)"
PROD060051,NOM_PROD60051,DES_PROD60051,5,1,336,3,4289,0,3782,13.41,N,319,403,A,"categoria no existe (id: 5)"
PROD060054,NOM_PROD60054,DES_PROD60054,4,1,447,2,2730,0,2325,17.43,S,424,536,A,"categoria no existe (id: 4)"
PROD060059,NOM_PROD60059,DES_PROD60059,5,2,482,5,2491,0,2192,13.67,S,457,578,A,"categoria no existe (id: 5)"
