codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD000001,NOM_PROD1,DES_PROD1,4,2,150,5,3775,0,3425,10.22,S,142,180,I,"categoria no existe (id: 4)"
PROD000003,NOM_PROD3,DES_PROD3,4,3,342,1,5400,0,4818,12.1,N,324,410,A,"categoria no existe (id: 4)"
PROD000006,NOM_PROD6,DES_PROD6,4,3,115,3,3785,0,3164,19.64,S,109,138,I,"categoria no existe (id: 4)"
PROD000008,NOM_PROD8,DES_PROD8,5,1,409,5,2533,0,2302,10.06,N,388,490,I,"categoria no existe (id: 5)"
PROD000010,NOM_PROD10,DES_PROD10,5,1,445,1,4846,0,4102,18.14,S,422,534,A,"categoria no existe (id: 5)"
PROD000012,NOM_PROD12,DES_PROD12,4,2,376,1,3941,0,3532,11.58,N,357,451,A,"categoria no existe (id: 4)"
PROD000015,NOM_PROD15,DES_PROD15,5,1,164,1,4136,0,3581,15.51,S,155,196,A,"categoria no existe (id: 5)"
PROD000019,NOM_PROD19,DES_PROD19,4,2,198,4,4798,0,4182,14.75,S,188,237,A,"categoria no existe (id: 4)"
PROD000021,NOM_PROD21,DES_PROD21,5,1,437,2,3892,0,3404,14.34,N,415,524,A,"categoria no existe (id: 5)"
PROD000026,NOM_PROD26,DES_PROD26,4,2,31,1,3993,0,3390,17.79,S,29,37,I,"categoria no existe (id: 4)"
PROD000027,NOM_PROD27,DES_PROD27,5,1,84,5,4775,0,4262,12.06,N,79,100,I,"categoria no existe (id: 5)"
PROD000028,NOM_PROD28,DES_PROD28,4,1,207,3,3338,0,2832,17.87,N,196,248,I,"categoria no existe (id: 4)"
PROD000029,NOM_PROD29,DES_PROD29,5,2,391,3,5574,0,4975,12.05,S,371,469,A,"categoria no existe (id: 5)"
PROD000030,NOM_PROD30,DES_PROD30,5,3,477,4,2486,0,2242,10.92,S,453,572,I,"categoria no existe (id: 5)"
PROD000043,NOM_PROD43,DES_PROD43,5,1,352,4,3489,0,2933,18.97,S,334,422,A,"categoria no existe (id: 5)"
PROD000046,NOM_PROD46,DES_PROD46,5,1,155,1,2792,0,2457,13.67,S,147,186,A,"categoria no existe (id: 5)"
PROD000047,NOM_PROD47,DES_PROD47,5,3,103,3,2763,0,2490,11.0,N,97,123,A,"categoria no existe (id: 5)"
PROD000050,NOM_PROD50,DES_PROD50,4,1,415,1,3441,0,2943,16.95,N,394,498,I,"categoria no existe (id: 4)"
PROD000052,NOM_PROD52,DES_PROD52,5,3,72,4,3270,0,2931,11.6,N,68,86,A,"categoria no existe (id: 5)"
PROD000055,NOM_PROD55,DES_PROD55,5,2,428,2,4889,0,4163,17.46,S,406,513,I,"categoria no existe (id: 5)"
PROD000059,NOM_PROD59,DES_PROD59,4,3,247,3,2483,0,2188,13.5,N,234,296,I,"categoria no existe (id: 4)"
PROD000060,NOM_PROD60,DES_PROD60,5,3,352,4,2327,0,2103,10.66,N,334,422,A,"categoria no existe (id: 5)"
PROD000064,NOM_PROD64,DES_PROD64,5,3,3,1,2383,0,2046,16.52,S,2,3,A,"categoria no existe (id: 5)"
PROD000069,NOM_PROD69,DES_PROD69,5,1,280,5,5539,0,4968,11.51,S,266,336,A,"categoria no existe (id: 5)"
PROD000071,NOM_PROD71,DES_PROD71,4,1,21,2,4290,0,3874,10.74,N,19,25,A,"categoria no existe (id: 4)"
PROD000072,NOM_PROD72,DES_PROD72,5,3,496,2,4879,0,4170,17.02,S,471,595,I,"categoria no existe (id: 5)"
PROD000075,NOM_PROD75,DES_PROD75,5,3,407,1,5044,0,4419,14.16,S,386,488,I,"categoria no existe (id: 5)"
PROD000076,NOM_PROD76,DES_PROD76,5,3,186,5,4887,0,4179,16.95,S,176,223,I,"categoria no existe (id: 5)"
PROD000077,NOM_PROD77,DES_PROD77,5,3,377,2,4848,0,4073,19.03,S,358,452,A,"categoria no existe (id: 5)"
PROD000078,NOM_PROD78,DES_PROD78,5,1,99,1,4868,0,4313,12.89,S,94,118,A,"categoria no existe (id: 5)"
PROD000079,NOM_PROD79,DES_PROD79,4,3,182,4,4847,0,4394,10.32,N,172,218,A,"categoria no existe (id: 4)"
PROD000080,NOM_PROD80,DES_PROD80,4,3,84,4,3193,0,2784,14.72,N,79,100,I,"categoria no existe (id: 4)"
PROD000083,NOM_PROD83,DES_PROD83,4,3,196,2,3974,0,3536,12.41,N,186,235,A,"categoria no existe (id: 4)"
PROD000089,NOM_PROD89,DES_PROD89,5,2,186,2,3374,0,3029,11.41,S,176,223,I,"categoria no existe (id: 5)"
PROD000092,NOM_PROD92,DES_PROD92,4,2,345,5,4987,0,4200,18.75,N,327,414,I,"categoria no existe (id: 4)"
PROD000093,NOM_PROD93,DES_PROD93,4,3,101,5,5620,0,4761,18.05,S,95,121,I,"categoria no existe (id: 4)"
PROD000094,NOM_PROD94,DES_PROD94,4,2,228,1,4646,0,4048,14.79,S,216,273,I,"categoria no existe (id: 4)"
PROD000099,NOM_PROD99,DES_PROD99,5,3,34,4,4288,0,3850,11.4,N,32,40,I,"categoria no existe (id: 5)"
PROD000101,NOM_PROD101,DES_PROD101,5,3,122,1,2840,0,2416,17.59,S,115,146,A,"categoria no existe (id: 5)"
PROD000106,NOM_PROD106,DES_PROD106,4,2,118,4,4118,0,3595,14.55,N,112,141,A,"categoria no existe (id: 4)"
PROD000107,NOM_PROD107,DES_PROD107,5,1,497,3,4234,0,3615,17.13,S,472,596,I,"categoria no existe (id: 5)"
PROD000109,NOM_PROD109,DES_PROD109,4,3,22,1,4544,0,3957,14.85,N,20,26,I,"categoria no existe (id: 4)"
PROD000112,NOM_PROD112,DES_PROD112,4,1,96,5,2993,0,2698,10.96,S,91,115,A,"categoria no existe (id: 4)"
PROD000114,NOM_PROD114,DES_PROD114,5,2,145,4,2496,0,2256,10.64,N,137,174,A,"categoria no existe (id: 5)"
PROD000120,NOM_PROD120,DES_PROD120,5,3,430,3,2973,0,2665,11.56,N,408,516,A,"categoria no existe (id: 5)"
PROD000121,NOM_PROD121,DES_PROD121,5,1,156,5,5464,0,4963,10.1,N,148,187,A,"categoria no existe (id: 5)"
PROD000123,NOM_PROD123,DES_PROD123,5,3,26,1,5602,0,4845,15.63,N,24,31,A,"categoria no existe (id: 5)"
PROD000124,NOM_PROD124,DES_PROD124,5,2,430,4,3741,0,3277,14.18,N,408,516,A,"categoria no existe (id: 5)"
PROD000125,NOM_PROD125,DES_PROD125,4,1,376,3,4329,0,3897,11.1,S,357,451,A,"categoria no existe (id: 4)"
PROD000127,NOM_PROD127,DES_PROD127,5,1,20,2,3130,0,2678,16.9,S,19,24,A,"categoria no existe (id: 5)"
PROD000132,NOM_PROD132,DES_PROD132,5,1,231,1,5567,0,4751,17.18,N,219,277,A,"categoria no existe (id: 5)"
PROD000135,NOM_PROD135,DES_PROD135,5,2,303,4,2504,0,2205,13.58,S,287,363,I,"categoria no existe (id: 5)"
PROD000142,NOM_PROD142,DES_PROD142,4,2,360,3,3232,0,2928,10.41,N,342,432,A,"categoria no existe (id: 4)"
PROD000148,NOM_PROD148,DES_PROD148,4,2,261,4,4560,0,3828,19.13,N,247,313,A,"categoria no existe (id: 4)"
PROD000149,NOM_PROD149,DES_PROD149,5,3,41,2,3130,0,2707,15.65,N,38,49,A,"categoria no existe (id: 5)"
PROD000150,NOM_PROD150,DES_PROD150,4,2,266,1,4036,0,3519,14.72,N,252,319,A,"categoria no existe (id: 4)"
PROD000154,NOM_PROD154,DES_PROD154,5,2,443,1,2347,0,2074,13.21,S,420,531,A,"categoria no existe (id: 5)"
PROD000157,NOM_PROD157,DES_PROD157,4,3,144,4,5370,0,4837,11.02,N,136,172,A,"categoria no existe (id: 4)"
PROD000158,NOM_PROD158,DES_PROD158,5,2,147,4,3219,0,2809,14.6,S,139,176,I,"categoria no existe (id: 5)"
PROD000159,NOM_PROD159,DES_PROD159,4,2,213,5,4831,0,4077,18.5,N,202,255,A,"categoria no existe (id: 4)"
PROD000162,NOM_PROD162,DES_PROD162,4,2,168,4,2395,0,2090,14.61,N,159,201,I,"categoria no existe (id: 4)"
PROD000169,NOM_PROD169,DES_PROD169,5,2,166,5,3287,0,2757,19.24,N,157,199,I,"categoria no existe (id: 5)"
PROD000170,NOM_PROD170,DES_PROD170,5,2,312,1,2370,0,1991,19.06,N,296,374,I,"categoria no existe (id: 5)"
PROD000172,NOM_PROD172,DES_PROD172,5,2,119,5,2206,0,1956,12.79,N,113,142,I,"categoria no existe (id: 5)"
PROD000174,NOM_PROD174,DES_PROD174,4,3,97,2,3881,0,3370,15.17,N,92,116,A,"categoria no existe (id: 4)"
PROD000176,NOM_PROD176,DES_PROD176,5,3,393,1,3242,0,2758,17.57,S,373,471,I,"categoria no existe (id: 5)"
PROD000177,NOM_PROD177,DES_PROD177,4,3,199,1,3830,0,3341,14.65,N,189,238,A,"categoria no existe (id: 4)"
PROD000178,NOM_PROD178,DES_PROD178,5,3,28,2,2925,0,2498,17.12,N,26,33,A,"categoria no existe (id: 5)"
PROD000181,NOM_PROD181,DES_PROD181,4,2,74,4,4642,0,3869,20.0,N,70,88,A,"categoria no existe (id: 4)"
PROD000188,NOM_PROD188,DES_PROD188,5,2,127,3,2730,0,2301,18.66,S,120,152,I,"categoria no existe (id: 5)"
PROD000189,NOM_PROD189,DES_PROD189,4,3,182,5,4883,0,4208,16.05,N,172,218,A,"categoria no existe (id: 4)"
PROD000190,NOM_PROD190,DES_PROD190,5,3,393,1,3862,0,3263,18.36,S,373,471,I,"categoria no existe (id: 5)"
PROD000192,NOM_PROD192,DES_PROD192,5,1,35,1,3724,0,3186,16.89,S,33,42,A,"categoria no existe (id: 5)"
PROD000194,NOM_PROD194,DES_PROD194,4,1,85,4,2551,0,2281,11.87,S,80,102,I,"categoria no existe (id: 4)"
PROD000199,NOM_PROD199,DES_PROD199,5,3,118,2,5880,0,4942,18.99,N,112,141,I,"categoria no existe (id: 5)"
PROD000201,NOM_PROD201,DES_PROD201,4,1,186,1,5250,0,4417,18.87,S,176,223,A,"categoria no existe (id: 4)"
PROD000205,NOM_PROD205,DES_PROD205,5,1,402,1,3166,0,2778,13.99,S,381,482,A,"categoria no existe (id: 5)"
PROD000207,NOM_PROD207,DES_PROD207,4,3,420,2,3602,0,3052,18.03,N,399,504,I,"categoria no existe (id: 4)"
PROD000209,NOM_PROD209,DES_PROD209,4,3,105,2,3038,0,2578,17.88,N,99,126,A,"categoria no existe (id: 4)"
PROD000210,NOM_PROD210,DES_PROD210,5,2,324,2,4238,0,3535,19.91,S,307,388,A,"categoria no existe (id: 5)"
PROD000212,NOM_PROD212,DES_PROD212,4,3,434,2,2487,0,2224,11.83,N,412,520,I,"categoria no existe (id: 4)"
PROD000214,NOM_PROD214,DES_PROD214,4,1,475,1,5521,0,4637,19.08,S,451,570,A,"categoria no existe (id: 4)"
PROD000218,NOM_PROD218,DES_PROD218,4,2,354,4,3811,0,3237,17.75,N,336,424,A,"categoria no existe (id: 4)"
PROD000219,NOM_PROD219,DES_PROD219,5,3,477,1,3817,0,3202,19.23,N,453,572,I,"categoria no existe (id: 5)"
PROD000223,NOM_PROD223,DES_PROD223,5,3,176,3,4578,0,3830,19.55,N,167,211,A,"categoria no existe (id: 5)"
PROD000224,NOM_PROD224,DES_PROD224,4,2,286,1,3718,0,3304,12.55,S,271,343,I,"categoria no existe (id: 4)"
PROD000225,NOM_PROD225,DES_PROD225,4,3,88,5,4042,0,3517,14.94,S,83,105,I,"categoria no existe (id: 4)"
PROD000226,NOM_PROD226,DES_PROD226,4,3,52,1,3829,0,3472,10.3,N,49,62,I,"categoria no existe (id: 4)"
PROD000228,NOM_PROD228,DES_PROD228,5,2,240,4,3718,0,3153,17.94,N,228,288,I,"categoria no existe (id: 5)"
PROD000232,NOM_PROD232,DES_PROD232,5,2,212,1,5118,0,4549,12.53,N,201,254,I,"categoria no existe (id: 5)"
PROD000235,NOM_PROD235,DES_PROD235,4,2,115,5,2855,0,2545,12.2,N,109,138,I,"categoria no existe (id: 4)"
PROD000240,NOM_PROD240,DES_PROD240,5,3,38,1,5158,0,4432,16.4,N,36,45,I,"categoria no existe (id: 5)"
PROD000244,NOM_PROD244,DES_PROD244,4,2,18,5,5600,0,4937,13.43,N,17,21,I,"categoria no existe (id: 4)"
PROD000250,NOM_PROD250,DES_PROD250,5,2,111,2,5326,0,4770,11.66,N,105,133,I,"categoria no existe (id: 5)"
PROD000254,NOM_PROD254,DES_PROD254,4,1,390,1,2265,0,1934,17.12,N,370,468,A,"categoria no existe (id: 4)"
PROD000255,NOM_PROD255,DES_PROD255,5,1,185,1,3261,0,2811,16.04,N,175,222,A,"categoria no existe (id: 5)"
PROD000256,NOM_PROD256,DES_PROD256,5,1,115,5,2225,0,2001,11.21,S,109,138,A,"categoria no existe (id: 5)"
PROD000261,NOM_PROD261,DES_PROD261,4,1,382,3,4796,0,4328,10.83,S,362,458,A,"categoria no existe (id: 4)"
PROD000262,NOM_PROD262,DES_PROD262,4,1,217,3,5624,0,4867,15.56,S,206,260,I,"categoria no existe (id: 4)"
PROD000263,NOM_PROD263,DES_PROD263,5,3,419,5,4340,0,3680,17.95,N,398,502,I,"categoria no existe (id: 5)"
PROD000264,NOM_PROD264,DES_PROD264,4,2,105,3,2261,0,1913,18.2,N,99,126,I,"categoria no existe (id: 4)"
PROD000265,NOM_PROD265,DES_PROD265,5,2,323,4,3557,0,3053,16.51,S,306,387,I,"categoria no existe (id: 5)"
PROD000266,NOM_PROD266,DES_PROD266,5,3,384,2,3376,0,2876,17.4,S,364,460,A,"categoria no existe (id: 5)"
PROD000267,NOM_PROD267,DES_PROD267,5,2,121,2,5667,0,4974,13.94,N,114,145,A,"categoria no existe (id: 5)"
PROD000269,NOM_PROD269,DES_PROD269,4,1,434,2,3838,0,3239,18.52,S,412,520,A,"categoria no existe (id: 4)"
PROD000271,NOM_PROD271,DES_PROD271,5,3,478,5,4572,0,3917,16.74,N,454,573,I,"categoria no existe (id: 5)"
PROD000274,NOM_PROD274,DES_PROD274,5,1,270,3,4484,0,3976,12.79,N,256,324,A,"categoria no existe (id: 5)"
PROD000275,NOM_PROD275,DES_PROD275,5,1,285,5,2807,0,2528,11.04,N,270,342,I,"categoria no existe (id: 5)"
PROD000278,NOM_PROD278,DES_PROD278,5,3,100,4,4731,0,4228,11.91,N,95,120,I,"categoria no existe (id: 5)"
PROD000282,NOM_PROD282,DES_PROD282,4,3,421,5,3981,0,3502,13.7,N,399,505,A,"categoria no existe (id: 4)"
PROD000285,NOM_PROD285,DES_PROD285,5,2,4,3,3046,0,2736,11.35,S,3,4,A,"categoria no existe (id: 5)"
PROD000286,NOM_PROD286,DES_PROD286,4,1,299,5,2812,0,2536,10.9,N,284,358,A,"categoria no existe (id: 4)"
PROD000287,NOM_PROD287,DES_PROD287,5,2,318,4,4698,0,3994,17.64,S,302,381,I,"categoria no existe (id: 5)"
PROD000289,NOM_PROD289,DES_PROD289,4,3,442,5,3627,0,3130,15.9,S,419,530,A,"categoria no existe (id: 4)"
PROD000293,NOM_PROD293,DES_PROD293,5,2,105,4,4110,0,3511,17.07,N,99,126,A,"categoria no existe (id: 5)"
PROD000294,NOM_PROD294,DES_PROD294,5,1,144,2,2694,0,2447,10.1,N,136,172,I,"categoria no existe (id: 5)"
PROD000295,NOM_PROD295,DES_PROD295,4,2,263,5,4225,0,3704,14.09,N,249,315,I,"categoria no existe (id: 4)"
PROD000297,NOM_PROD297,DES_PROD297,4,3,470,5,4614,0,3945,16.96,N,446,564,I,"categoria no existe (id: 4)"
PROD000298,NOM_PROD298,DES_PROD298,5,3,72,3,5727,0,4942,15.9,N,68,86,A,"categoria no existe (id: 5)"
PROD000299,NOM_PROD299,DES_PROD299,4,1,113,5,3718,0,3322,11.93,N,107,135,I,"categoria no existe (id: 4)"
PROD000300,NOM_PROD300,DES_PROD300,5,2,170,4,4851,0,4400,10.27,N,161,204,A,"categoria no existe (id: 5)"
PROD000302,NOM_PROD302,DES_PROD302,4,2,82,4,4065,0,3574,13.75,N,77,98,A,"categoria no existe (id: 4)"
PROD000304,NOM_PROD304,DES_PROD304,4,2,445,5,3458,0,3026,14.29,N,422,534,A,"categoria no existe (id: 4)"
PROD000305,NOM_PROD305,DES_PROD305,5,1,67,5,5240,0,4513,16.11,S,63,80,A,"categoria no existe (id: 5)"
PROD000314,NOM_PROD314,DES_PROD314,5,1,193,1,3093,0,2593,19.31,S,183,231,I,"categoria no existe (id: 5)"
PROD000316,NOM_PROD316,DES_PROD316,4,1,181,3,3812,0,3316,14.96,S,171,217,A,"categoria no existe (id: 4)"
PROD000317,NOM_PROD317,DES_PROD317,5,2,255,4,3668,0,3151,16.43,N,242,306,A,"categoria no existe (id: 5)"
PROD000318,NOM_PROD318,DES_PROD318,5,3,56,2,2178,0,1938,12.42,N,53,67,I,"categoria no existe (id: 5)"
PROD000328,NOM_PROD328,DES_PROD328,5,1,419,1,4217,0,3696,14.11,N,398,502,I,"categoria no existe (id: 5)"
PROD000329,NOM_PROD329,DES_PROD329,4,2,63,2,4416,0,3746,17.9,N,59,75,I,"categoria no existe (id: 4)"
PROD000333,NOM_PROD333,DES_PROD333,5,2,200,4,3930,0,3337,17.78,S,190,240,I,"categoria no existe (id: 5)"
PROD000335,NOM_PROD335,DES_PROD335,5,2,174,1,4590,0,4071,12.75,S,165,208,A,"categoria no existe (id: 5)"
PROD000339,NOM_PROD339,DES_PROD339,5,1,261,3,5408,0,4704,14.98,N,247,313,A,"categoria no existe (id: 5)"
PROD000344,NOM_PROD344,DES_PROD344,4,2,63,5,4933,0,4134,19.35,S,59,75,I,"categoria no existe (id: 4)"
PROD000348,NOM_PROD348,DES_PROD348,5,2,65,4,4227,0,3658,15.57,N,61,78,A,"categoria no existe (id: 5)"
PROD000349,NOM_PROD349,DES_PROD349,5,3,88,5,4446,0,3856,15.31,S,83,105,I,"categoria no existe (id: 5)"
PROD000350,NOM_PROD350,DES_PROD350,5,1,263,4,3815,0,3343,14.13,S,249,315,I,"categoria no existe (id: 5)"
PROD000353,NOM_PROD353,DES_PROD353,5,1,413,5,5460,0,4652,17.37,S,392,495,I,"categoria no existe (id: 5)"
PROD000355,NOM_PROD355,DES_PROD355,5,2,253,5,4113,0,3598,14.33,S,240,303,I,"categoria no existe (id: 5)"
PROD000359,NOM_PROD359,DES_PROD359,4,3,354,4,2582,0,2164,19.33,N,336,424,A,"categoria no existe (id: 4)"
PROD000362,NOM_PROD362,DES_PROD362,4,3,138,3,4206,0,3615,16.35,N,131,165,A,"categoria no existe (id: 4)"
PROD000367,NOM_PROD367,DES_PROD367,4,1,64,4,2503,0,2268,10.39,S,60,76,A,"categoria no existe (id: 4)"
PROD000368,NOM_PROD368,DES_PROD368,4,2,236,2,2669,0,2386,11.89,N,224,283,A,"categoria no existe (id: 4)"
PROD000370,NOM_PROD370,DES_PROD370,4,2,114,3,5665,0,4760,19.02,S,108,136,A,"categoria no existe (id: 4)"
PROD000371,NOM_PROD371,DES_PROD371,4,1,1,1,4822,0,4144,16.38,N,0,1,A,"categoria no existe (id: 4)"
PROD000372,NOM_PROD372,DES_PROD372,5,1,367,1,3696,0,3107,18.98,S,348,440,A,"categoria no existe (id: 5)"
PROD000376,NOM_PROD376,DES_PROD376,4,1,454,4,5844,0,4961,17.8,S,431,544,A,"categoria no existe (id: 4)"
PROD000377,NOM_PROD377,DES_PROD377,5,1,147,5,3928,0,3299,19.09,N,139,176,A,"categoria no existe (id: 5)"
PROD000380,NOM_PROD380,DES_PROD380,4,2,414,3,4502,0,4065,10.77,N,393,496,A,"categoria no existe (id: 4)"
PROD000381,NOM_PROD381,DES_PROD381,5,2,99,5,4468,0,3889,14.91,N,94,118,A,"categoria no existe (id: 5)"
PROD000382,NOM_PROD382,DES_PROD382,4,3,68,5,5417,0,4766,13.66,S,64,81,I,"categoria no existe (id: 4)"
PROD000383,NOM_PROD383,DES_PROD383,4,1,320,5,5706,0,4940,15.51,S,304,384,A,"categoria no existe (id: 4)"
PROD000384,NOM_PROD384,DES_PROD384,5,3,66,3,5695,0,4926,15.62,N,62,79,I,"categoria no existe (id: 5)"
PROD000385,NOM_PROD385,DES_PROD385,4,3,491,2,3915,0,3423,14.39,N,466,589,A,"categoria no existe (id: 4)"
PROD000388,NOM_PROD388,DES_PROD388,5,2,333,1,3613,0,3263,10.73,S,316,399,A,"categoria no existe (id: 5)"
PROD000391,NOM_PROD391,DES_PROD391,5,3,221,3,5555,0,4750,16.95,N,209,265,I,"categoria no existe (id: 5)"
PROD000393,NOM_PROD393,DES_PROD393,5,2,307,2,3447,0,2989,15.35,N,291,368,I,"categoria no existe (id: 5)"
PROD000399,NOM_PROD399,DES_PROD399,5,3,65,5,4532,0,4080,11.1,S,61,78,A,"categoria no existe (id: 5)"
PROD000401,NOM_PROD401,DES_PROD401,5,2,111,5,2833,0,2429,16.64,S,105,133,I,"categoria no existe (id: 5)"
PROD000405,NOM_PROD405,DES_PROD405,4,1,117,5,4732,0,4053,16.76,N,111,140,A,"categoria no existe (id: 4)"
PROD000410,NOM_PROD410,DES_PROD410,4,1,380,4,3391,0,2918,16.22,N,361,456,I,"categoria no existe (id: 4)"
PROD000413,NOM_PROD413,DES_PROD413,4,3,104,3,5504,0,4834,13.87,S,98,124,I,"categoria no existe (id: 4)"
PROD000414,NOM_PROD414,DES_PROD414,5,2,170,2,2713,0,2277,19.16,N,161,204,I,"categoria no existe (id: 5)"
PROD000415,NOM_PROD415,DES_PROD415,4,1,225,1,5413,0,4906,10.35,S,213,270,I,"categoria no existe (id: 4)"
PROD000420,NOM_PROD420,DES_PROD420,4,3,258,4,3988,0,3618,10.23,N,245,309,I,"categoria no existe (id: 4)"
PROD000421,NOM_PROD421,DES_PROD421,5,3,355,5,3982,0,3428,16.17,N,337,426,A,"categoria no existe (id: 5)"
PROD000423,NOM_PROD423,DES_PROD423,4,2,205,4,5267,0,4763,10.59,S,194,246,A,"categoria no existe (id: 4)"
PROD000424,NOM_PROD424,DES_PROD424,5,1,86,4,2586,0,2309,12.01,N,81,103,A,"categoria no existe (id: 5)"
PROD000426,NOM_PROD426,DES_PROD426,4,3,80,4,2522,0,2114,19.32,N,76,96,A,"categoria no existe (id: 4)"
PROD000430,NOM_PROD430,DES_PROD430,4,2,463,1,4556,0,3814,19.46,N,439,555,A,"categoria no existe (id: 4)"
PROD000432,NOM_PROD432,DES_PROD432,5,1,72,4,4417,0,3786,16.68,N,68,86,I,"categoria no existe (id: 5)"
PROD000433,NOM_PROD433,DES_PROD433,4,2,325,1,4303,0,3596,19.68,S,308,390,I,"categoria no existe (id: 4)"
PROD000434,NOM_PROD434,DES_PROD434,5,1,192,4,2875,0,2471,16.39,S,182,230,I,"categoria no existe (id: 5)"
