codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD030002,NOM_PROD30002,DES_PROD30002,5,1,1,3,3136,0,2699,16.2,N,0,1,A,"categoria no existe (id: 5)"
PROD030003,NOM_PROD30003,DES_PROD30003,4,3,494,3,5077,0,4294,18.24,N,469,592,A,"categoria no existe (id: 4)"
PROD030009,NOM_PROD30009,DES_PROD30009,5,2,214,5,3319,0,2941,12.87,N,203,256,A,"categoria no existe (id: 5)"
PROD030012,NOM_PROD30012,DES_PROD30012,5,2,60,4,5227,0,4639,12.68,N,57,72,I,"categoria no existe (id: 5)"
PROD030015,NOM_PROD30015,DES_PROD30015,4,3,308,2,3011,0,2649,13.7,N,292,369,A,"categoria no existe (id: 4)"
PROD030016,NOM_PROD30016,DES_PROD30016,4,3,8,1,3694,0,3271,12.96,N,7,9,A,"categoria no existe (id: 4)"
PROD030018,NOM_PROD30018,DES_PROD30018,5,1,122,1,2725,0,2302,18.38,N,115,146,I,"categoria no existe (id: 5)"
PROD030019,NOM_PROD30019,DES_PROD30019,5,3,146,5,2732,0,2365,15.55,N,138,175,A,"categoria no existe (id: 5)"
PROD030022,NOM_PROD30022,DES_PROD30022,4,2,27,1,3638,0,3102,17.28,S,25,32,I,"categoria no existe (id: 4)"
PROD030024,NOM_PROD30024,DES_PROD30024,4,3,3,4,4973,0,4438,12.06,N,2,3,A,"categoria no existe (id: 4)"
PROD030026,NOM_PROD30026,DES_PROD30026,5,1,118,4,2941,0,2579,14.04,N,112,141,I,"categoria no existe (id: 5)"
PROD030029,NOM_PROD30029,DES_PROD30029,4,2,432,5,2230,0,1931,15.51,N,410,518,A,"categoria no existe (id: 4)"
PROD030031,NOM_PROD30031,DES_PROD30031,5,3,190,1,4799,0,4082,17.58,N,180,228,A,"categoria no existe (id: 5)"
PROD030034,NOM_PROD30034,DES_PROD30034,5,3,134,2,3237,0,2836,14.17,N,127,160,A,"categoria no existe (id: 5)"
PROD030035,NOM_PROD30035,DES_PROD30035,5,2,262,1,2452,0,2185,12.25,N,248,314,I,"categoria no existe (id: 5)"
PROD030036,NOM_PROD30036,DES_PROD30036,5,2,110,4,3411,0,3040,12.21,N,104,132,I,"categoria no existe (id: 5)"
PROD030037,NOM_PROD30037,DES_PROD30037,4,1,344,1,3440,0,3108,10.7,S,326,412,A,"categoria no existe (id: 4)"
PROD030039,NOM_PROD30039,DES_PROD30039,5,2,390,2,2901,0,2605,11.4,N,370,468,A,"categoria no existe (id: 5)"
PROD030041,NOM_PROD30041,DES_PROD30041,5,2,377,1,5360,0,4758,12.67,N,358,452,A,"categoria no existe (id: 5)"
PROD030042,NOM_PROD30042,DES_PROD30042,4,1,400,3,4203,0,3622,16.05,N,380,480,A,"categoria no existe (id: 4)"
PROD030043,NOM_PROD30043,DES_PROD30043,5,1,58,2,4303,0,3600,19.55,N,55,69,I,"categoria no existe (id: 5)"
PROD030044,NOM_PROD30044,DES_PROD30044,4,3,86,3,3044,0,2581,17.97,S,81,103,A,"categoria no existe (id: 4)"
PROD030048,NOM_PROD30048,DES_PROD30048,5,1,193,1,3300,0,2896,13.97,S,183,231,I,"categoria no existe (id: 5)"
PROD030049,NOM_PROD30049,DES_PROD30049,5,2,24,4,3159,0,2762,14.38,S,22,28,A,"categoria no existe (id: 5)"
PROD030052,NOM_PROD30052,DES_PROD30052,5,3,9,3,2283,0,1915,19.25,S,8,10,I,"categoria no existe (id: 5)"
PROD030053,NOM_PROD30053,DES_PROD30053,4,3,266,4,3282,0,2973,10.4,S,252,319,A,"categoria no existe (id: 4)"
PROD030055,NOM_PROD30055,DES_PROD30055,4,3,337,3,4048,0,3665,10.47,S,320,404,A,"categoria no existe (id: 4)"
PROD030056,NOM_PROD30056,DES_PROD30056,4,1,306,3,2458,0,2199,11.79,S,290,367,A,"categoria no existe (id: 4)"
PROD030057,NOM_PROD30057,DES_PROD30057,5,3,308,3,3340,0,2884,15.84,S,292,369,A,"categoria no existe (id: 5)"
PROD030064,NOM_PROD30064,DES_PROD30064,5,3,399,4,3145,0,2769,13.6,S,379,478,A,"categoria no existe (id: 5)"
PROD030067,NOM_PROD30067,DES_PROD30067,5,1,30,5,2308,0,2089,10.52,N,28,36,I,"categoria no existe (id: 5)"
PROD030068,NOM_PROD30068,DES_PROD30068,5,1,424,3,2272,0,1986,14.42,S,402,508,A,"categoria no existe (id: 5)"
PROD030071,NOM_PROD30071,DES_PROD30071,5,1,381,3,2094,0,1903,10.04,S,361,457,A,"categoria no existe (id: 5)"
PROD030073,NOM_PROD30073,DES_PROD30073,4,3,156,3,4689,0,4118,13.88,S,148,187,I,"categoria no existe (id: 4)"
PROD030075,NOM_PROD30075,DES_PROD30075,4,2,7,5,2858,0,2449,16.71,N,6,8,I,"categoria no existe (id: 4)"
PROD030076,NOM_PROD30076,DES_PROD30076,4,2,138,5,3089,0,2794,10.58,N,131,165,I,"categoria no existe (id: 4)"
PROD030077,NOM_PROD30077,DES_PROD30077,4,3,35,3,2236,0,1972,13.41,N,33,42,A,"categoria no existe (id: 4)"
PROD030078,NOM_PROD30078,DES_PROD30078,5,1,399,3,2259,0,2046,10.44,S,379,478,A,"categoria no existe (id: 5)"
PROD030079,NOM_PROD30079,DES_PROD30079,5,3,408,2,5744,0,4899,17.25,N,387,489,I,"categoria no existe (id: 5)"
PROD030080,NOM_PROD30080,DES_PROD30080,5,1,255,3,4855,0,4340,11.88,S,242,306,A,"categoria no existe (id: 5)"
PROD030081,NOM_PROD30081,DES_PROD30081,5,1,207,4,5735,0,4885,17.42,S,196,248,A,"categoria no existe (id: 5)"
PROD030082,NOM_PROD30082,DES_PROD30082,5,2,329,3,3831,0,3388,13.08,S,312,394,A,"categoria no existe (id: 5)"
PROD030083,NOM_PROD30083,DES_PROD30083,4,3,320,5,5426,0,4771,13.74,N,304,384,A,"categoria no existe (id: 4)"
PROD030086,NOM_PROD30086,DES_PROD30086,5,3,311,4,4190,0,3713,12.87,N,295,373,A,"categoria no existe (id: 5)"
PROD030087,NOM_PROD30087,DES_PROD30087,5,2,477,1,3643,0,3190,14.23,S,453,572,A,"categoria no existe (id: 5)"
PROD030088,NOM_PROD30088,DES_PROD30088,4,3,59,3,4524,0,3859,17.25,S,56,70,I,"categoria no existe (id: 4)"
PROD030090,NOM_PROD30090,DES_PROD30090,4,3,62,2,5363,0,4755,12.79,S,58,74,A,"categoria no existe (id: 4)"
PROD030092,NOM_PROD30092,DES_PROD30092,4,1,116,1,5494,0,4918,11.72,S,110,139,I,"categoria no existe (id: 4)"
PROD030097,NOM_PROD30097,DES_PROD30097,4,1,164,4,5665,0,4735,19.66,S,155,196,A,"categoria no existe (id: 4)"
PROD030098,NOM_PROD30098,DES_PROD30098,5,1,150,4,5805,0,4936,17.62,N,142,180,A,"categoria no existe (id: 5)"
PROD030099,NOM_PROD30099,DES_PROD30099,4,3,431,3,2589,0,2234,15.9,N,409,517,A,"categoria no existe (id: 4)"
PROD030101,NOM_PROD30101,DES_PROD30101,5,2,160,1,3796,0,3305,14.87,S,152,192,I,"categoria no existe (id: 5)"
PROD030102,NOM_PROD30102,DES_PROD30102,4,2,160,4,4850,0,4242,14.35,S,152,192,I,"categoria no existe (id: 4)"
PROD030103,NOM_PROD30103,DES_PROD30103,5,1,402,1,3763,0,3364,11.89,N,381,482,A,"categoria no existe (id: 5)"
