codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD040002,NOM_PROD40002,DES_PROD40002,4,2,356,2,5645,0,4712,19.81,N,338,427,A,"categoria no existe (id: 4)"
PROD040005,NOM_PROD40005,DES_PROD40005,5,1,191,5,4304,0,3816,12.8,N,181,229,A,"categoria no existe (id: 5)"
PROD040007,NOM_PROD40007,DES_PROD40007,4,3,13,1,4911,0,4396,11.73,S,12,15,I,"categoria no existe (id: 4)"
PROD040009,NOM_PROD40009,DES_PROD40009,4,3,474,1,2151,0,1909,12.71,N,450,568,I,"categoria no existe (id: 4)"
PROD040010,NOM_PROD40010,DES_PROD40010,5,3,173,2,3597,0,3159,13.87,N,164,207,A,"categoria no existe (id: 5)"
PROD040011,NOM_PROD40011,DES_PROD40011,4,3,210,4,3707,0,3122,18.77,N,199,252,A,"categoria no existe (id: 4)"
PROD040012,NOM_PROD40012,DES_PROD40012,5,2,107,1,4082,0,3588,13.79,N,101,128,I,"categoria no existe (id: 5)"
PROD040014,NOM_PROD40014,DES_PROD40014,5,2,498,3,5047,0,4348,16.08,N,473,597,A,"categoria no existe (id: 5)"
PROD040019,NOM_PROD40019,DES_PROD40019,4,3,10,3,4138,0,3499,18.27,N,9,12,A,"categoria no existe (id: 4)"
PROD040025,NOM_PROD40025,DES_PROD40025,5,3,142,4,3633,0,3296,10.25,N,134,170,A,"categoria no existe (id: 5)"
PROD040026,NOM_PROD40026,DES_PROD40026,4,3,330,3,5222,0,4733,10.34,S,313,396,A,"categoria no existe (id: 4)"
PROD040030,NOM_PROD40030,DES_PROD40030,4,1,486,4,3947,0,3410,15.75,S,461,583,A,"categoria no existe (id: 4)"
PROD040031,NOM_PROD40031,DES_PROD40031,5,3,345,4,3061,0,2671,14.61,S,327,414,I,"categoria no existe (id: 5)"
PROD040032,NOM_PROD40032,DES_PROD40032,5,2,53,5,5368,0,4706,14.07,S,50,63,A,"categoria no existe (id: 5)"
PROD040033,NOM_PROD40033,DES_PROD40033,5,3,55,5,2724,0,2468,10.39,S,52,66,I,"categoria no existe (id: 5)"
PROD040034,NOM_PROD40034,DES_PROD40034,4,1,64,5,5860,0,4944,18.54,N,60,76,A,"categoria no existe (id: 4)"
