codigo_elemnto,nmbre_elemnto,dscrpcion_elemnto,ctgria_elemnto,und_elemnto,exstncia_elemnto,bdga_elemnto,precio_venta_ac,precio_venta_an,costo_venta,mrgen_utldad,tiene_iva,stock_minimo,stock_maximo,estado,detalle_error
PROD050002,NOM_PROD50002,DES_PROD50002,4,1,269,4,5000,0,4534,10.28,N,255,322,I,"categoria no existe (id: 4)"
PROD050003,NOM_PROD50003,DES_PROD50003,5,1,207,5,4755,0,4181,13.73,N,196,248,A,"categoria no existe (id: 5)"
PROD050004,NOM_PROD50004,DES_PROD50004,4,2,382,3,4564,0,3827,19.27,S,362,458,I,"categoria no existe (id: 4)"
PROD050008,NOM_PROD50008,DES_PROD50008,4,2,175,5,5744,0,4931,16.5,S,166,210,A,"categoria no existe (id: 4)"
PROD050009,NOM_PROD50009,DES_PROD50009,4,3,401,2,2997,0,2606,15.04,S,380,481,A,"categoria no existe (id: 4)"
PROD050011,NOM_PROD50011,DES_PROD50011,4,2,327,5,5910,0,4970,18.93,S,310,392,A,"categoria no existe (id: 4)"
PROD050014,NOM_PROD50014,DES_PROD50014,4,2,124,1,4320,0,3882,11.29,N,117,148,A,"categoria no existe (id: 4)"
PROD050015,NOM_PROD50015,DES_PROD50015,4,2,46,5,3761,0,3247,15.86,N,43,55,I,"categoria no existe (id: 4)"
PROD050017,NOM_PROD50017,DES_PROD50017,4,1,380,3,3494,0,3116,12.14,S,361,456,A,"categoria no existe (id: 4)"
PROD050018,NOM_PROD50018,DES_PROD50018,4,1,188,5,2792,0,2521,10.76,N,178,225,A,"categoria no existe (id: 4)"
PROD050019,NOM_PROD50019,DES_PROD50019,5,2,242,3,2597,0,2261,14.88,S,229,290,A,"categoria no existe (id: 5)"
PROD050020,NOM_PROD50020,DES_PROD50020,5,3,96,2,5002,0,4442,12.62,S,91,115,I,"categoria no existe (id: 5)"
PROD050022,NOM_PROD50022,DES_PROD50022,5,2,150,1,3988,0,3583,11.33,N,142,180,I,"categoria no existe (id: 5)"
PROD050023,NOM_PROD50023,DES_PROD50023,4,2,495,2,2142,0,1890,13.34,N,470,594,I,"categoria no existe (id: 4)"
PROD050026,NOM_PROD50026,DES_PROD50026,4,3,66,1,2523,0,2150,17.38,N,62,79,I,"categoria no existe (id: 4)"
PROD050029,NOM_PROD50029,DES_PROD50029,4,2,470,1,4527,0,3828,18.27,S,446,564,A,"categoria no existe (id: 4)"
PROD050031,NOM_PROD50031,DES_PROD50031,5,1,195,2,3799,0,3392,12.01,S,185,234,I,"categoria no existe (id: 5)"
PROD050032,NOM_PROD50032,DES_PROD50032,4,2,289,1,3876,0,3343,15.96,S,274,346,I,"categoria no existe (id: 4)"
PROD050035,NOM_PROD50035,DES_PROD50035,4,2,123,2,4531,0,3969,14.18,S,116,147,I,"categoria no existe (id: 4)"
PROD050040,NOM_PROD50040,DES_PROD50040,5,1,196,5,2605,0,2274,14.57,S,186,235,I,"categoria no existe (id: 5)"
PROD050044,NOM_PROD50044,DES_PROD50044,4,2,460,5,5317,0,4684,13.53,N,437,552,I,"categoria no existe (id: 4)"
PROD050046,NOM_PROD50046,DES_PROD50046,5,3,418,3,2253,0,2000,12.65,N,397,501,I,"categoria no existe (id: 5)"
PROD050047,NOM_PROD50047,DES_PROD50047,4,1,354,2,5211,0,4701,10.85,S,336,424,A,"categoria no existe (id: 4)"
PROD050048,NOM_PROD50048,DES_PROD50048,4,2,43,3,2535,0,2173,16.7,N,40,51,I,"categoria no existe (id: 4)"
PROD050050,NOM_PROD50050,DES_PROD50050,4,1,90,4,4162,0,3661,13.7,S,85,108,I,"categoria no existe (id: 4)"
PROD050051,NOM_PROD50051,DES_PROD50051,4,1,211,5,2782,0,2503,11.15,S,200,253,I,"categoria no existe (id: 4)"
PROD050052,NOM_PROD50052,DES_PROD50052,4,2,80,2,2695,0,2292,17.61,S,76,96,I,"categoria no existe (id: 4)"
PROD050058,NOM_PROD50058,DES_PROD50058,5,2,307,4,3379,0,2822,19.76,S,291,368,A,"categoria no existe (id: 5)"
PROD050060,NOM_PROD50060,DES_PROD50060,5,2,95,2,2321,0,1974,17.61,S,90,114,A,"categoria no existe (id: 5)"
PROD050065,NOM_PROD50065,DES_PROD50065,5,2,9,2,4594,0,4012,14.53,N,8,10,I,"categoria no existe (id: 5)"
PROD050066,NOM_PROD50066,DES_PROD50066,4,1,53,4,5552,0,4888,13.6,S,50,63,I,"categoria no existe (id: 4)"
PROD050068,NOM_PROD50068,DES_PROD50068,5,1,299,2,4321,0,3826,12.96,N,284,358,I,"categoria no existe (id: 5)"
PROD050071,NOM_PROD50071,DES_PROD50071,4,2,395,5,4864,0,4295,13.25,S,375,474,I,"categoria no existe (id: 4)"
PROD050074,NOM_PROD50074,DES_PROD50074,5,3,292,3,3898,0,3429,13.69,S,277,350,A,"categoria no existe (id: 5)"
PROD050075,NOM_PROD50075,DES_PROD50075,4,3,407,3,4325,0,3677,17.64,S,386,488,A,"categoria no existe (id: 4)"
PROD050076,NOM_PROD50076,DES_PROD50076,5,3,94,1,4321,0,3756,15.06,N,89,112,I,"categoria no existe (id: 5)"
PROD050080,NOM_PROD50080,DES_PROD50080,4,1,90,3,5318,0,4664,14.04,S,85,108,I,"categoria no existe (id: 4)"
PROD050084,NOM_PROD50084,DES_PROD50084,5,1,89,5,5186,0,4676,10.92,S,84,106,I,"categoria no existe (id: 5)"
PROD050091,NOM_PROD50091,DES_PROD50091,5,1,103,4,4023,0,3587,12.17,S,97,123,I,"categoria no existe (id: 5)"
PROD050098,NOM_PROD50098,DES_PROD50098,4,1,13,4,3898,0,3378,15.4,N,12,15,A,"categoria no existe (id: 4)"
PROD050103,NOM_PROD50103,DES_PROD50103,4,2,71,3,2923,0,2644,10.57,S,67,85,A,"categoria no existe (id: 4)"
PROD050104,NOM_PROD50104,DES_PROD50104,4,1,498,4,2852,0,2487,14.69,S,473,597,A,"categoria no existe (id: 4)"
PROD050107,NOM_PROD50107,DES_PROD50107,5,3,67,3,4306,0,3662,17.61,N,63,80,I,"categoria no existe (id: 5)"
PROD050109,NOM_PROD50109,DES_PROD50109,5,2,347,1,2329,0,2064,12.87,N,329,416,I,"categoria no existe (id: 5)"
PROD050110,NOM_PROD50110,DES_PROD50110,5,2,234,5,5562,0,4835,15.04,S,222,280,I,"categoria no existe (id: 5)"
PROD050111,NOM_PROD50111,DES_PROD50111,5,2,279,1,2584,0,2288,12.96,N,265,334,I,"categoria no existe (id: 5)"
PROD050112,NOM_PROD50112,DES_PROD50112,4,2,282,4,4840,0,4254,13.78,N,267,338,I,"categoria no existe (id: 4)"
PROD050116,NOM_PROD50116,DES_PROD50116,4,1,185,2,3600,0,3241,11.1,S,175,222,I,"categoria no existe (id: 4)"
PROD050117,NOM_PROD50117,DES_PROD50117,4,3,309,1,4295,0,3855,11.43,N,293,370,A,"categoria no existe (id: 4)"
PROD050121,NOM_PROD50121,DES_PROD50121,5,2,395,3,2877,0,2450,17.45,N,375,474,A,"categoria no existe (id: 5)"
PROD050123,NOM_PROD50123,DES_PROD50123,4,3,412,2,3727,0,3117,19.59,N,391,494,A,"categoria no existe (id: 4)"
PROD050124,NOM_PROD50124,DES_PROD50124,4,2,444,3,4693,0,4116,14.03,S,421,532,I,"categoria no existe (id: 4)"
PROD050128,NOM_PROD50128,DES_PROD50128,5,2,411,4,2306,0,2061,11.91,N,390,493,I,"categoria no existe (id: 5)"
PROD050136,NOM_PROD50136,DES_PROD50136,5,2,405,5,3150,0,2827,11.45,S,384,486,A,"categoria no existe (id: 5)"
PROD050137,NOM_PROD50137,DES_PROD50137,5,2,183,1,4621,0,4128,11.96,N,173,219,I,"categoria no existe (id: 5)"
PROD050141,NOM_PROD50141,DES_PROD50141,5,2,315,2,2482,0,2088,18.88,N,299,378,A,"categoria no existe (id: 5)"
PROD050146,NOM_PROD50146,DES_PROD50146,4,3,15,2,5652,0,4949,14.21,S,14,18,A,"categoria no existe (id: 4)"
PROD050147,NOM_PROD50147,DES_PROD50147,4,2,166,5,2562,0,2208,16.07,S,157,199,A,"categoria no existe (id: 4)"
PROD050148,NOM_PROD50148,DES_PROD50148,4,1,321,1,5388,0,4692,14.84,N,304,385,A,"categoria no existe (id: 4)"
PROD050151,NOM_PROD50151,DES_PROD50151,5,2,489,2,3797,0,3362,12.94,N,464,586,A,"categoria no existe (id: 5)"
PROD050156,NOM_PROD50156,DES_PROD50156,4,3,140,1,2767,0,2339,18.33,N,133,168,I,"categoria no existe (id: 4)"
PROD050158,NOM_PROD50158,DES_PROD50158,5,2,127,2,5041,0,4530,11.3,S,120,152,A,"categoria no existe (id: 5)"
PROD050162,NOM_PROD50162,DES_PROD50162,5,3,300,5,4288,0,3835,11.82,S,285,360,A,"categoria no existe (id: 5)"
